mode,policy,N,workload,app,seed,measure_s,epoch_us,meals,throughput_s,mean_wait_ms,p95_wait_ms,p99_wait_ms,max_wait_ms,jain,zero_workers,ledger_invariant
process,dguard,51,bursty,ledger,3001,0.130000,1200,1661,12776.923077,0.004763,0.000601,0.140224,0.192386,0.986388,0,1
process,ordered,51,bursty,ledger,3001,0.130000,1200,1662,12784.615385,0.092629,0.127024,0.174311,0.371361,0.986264,0,1
process,waiter,51,bursty,ledger,3001,0.130000,1200,1662,12784.615385,0.092366,0.126607,0.279047,0.858213,0.986587,0,1
process,dguard,51,bursty,ledger,3002,0.130000,1200,1653,12715.384615,0.005986,0.062401,0.154653,0.311082,0.981419,0,1
process,ordered,51,bursty,ledger,3002,0.130000,1200,1652,12707.692308,0.092044,0.126180,0.177641,0.879985,0.981149,0,1
process,waiter,51,bursty,ledger,3002,0.130000,1200,1655,12730.769231,0.092243,0.125995,0.181574,0.323749,0.981673,0,1
process,dguard,201,saturated,sleep,3001,0.130000,1200,5809,44684.615385,2.552978,10.693313,17.445808,42.225246,0.974370,0,1
process,ordered,201,saturated,sleep,3001,0.130000,1200,75,576.923077,0.097520,0.132350,0.170703,0.222069,0.004975,200,1
process,waiter,201,saturated,sleep,3001,0.130000,1200,72,553.846154,8.270385,4.788479,184.828074,347.017219,0.009406,198,1
process,dguard,201,saturated,sleep,3002,0.130000,1200,5360,41230.769231,2.856959,13.168791,20.712029,34.895519,0.976721,0,1
process,ordered,201,saturated,sleep,3002,0.130000,1200,77,592.307692,1.729329,4.129959,5.090858,5.565201,0.009816,199,1
process,waiter,201,saturated,sleep,3002,0.130000,1200,74,569.230769,0.099672,0.125470,0.140636,0.157784,0.004975,200,1
process,dguard,201,bursty,sleep,3001,0.130000,1200,4105,31576.923077,0.718836,2.608289,3.734490,6.999728,0.985922,0,1
process,ordered,201,bursty,sleep,3001,0.130000,1200,3989,30684.615385,0.953988,3.378623,5.607984,12.206008,0.986489,0,1
process,waiter,201,bursty,sleep,3001,0.130000,1200,3993,30715.384615,0.932327,3.292020,4.795375,8.507619,0.986404,0,1
process,dguard,201,bursty,sleep,3002,0.130000,1200,4081,31392.307692,0.695482,2.572274,3.792073,6.453979,0.988588,0,1
process,ordered,201,bursty,sleep,3002,0.130000,1200,3975,30576.923077,0.936210,3.339740,5.112874,8.782552,0.988396,0,1
process,waiter,201,bursty,sleep,3002,0.130000,1200,4010,30846.153846,0.897084,3.126455,4.923297,10.474100,0.987197,0,1
process,dguard,201,saturated,ledger,3001,0.130000,1200,55809,429300.000000,0.289151,1.483381,2.125250,25.799744,0.983785,0,1
process,ordered,201,saturated,ledger,3001,0.130000,1200,2637,20284.615385,0.322010,0.707925,2.933138,100.489706,0.012483,194,1
process,waiter,201,saturated,ledger,3001,0.130000,1200,1437,11053.846154,1.574232,0.163209,62.268264,136.879788,0.022472,167,1
process,dguard,201,saturated,ledger,3002,0.130000,1200,73875,568269.230769,0.205279,1.368988,1.879940,25.308553,0.944960,0,1
process,ordered,201,saturated,ledger,3002,0.130000,1200,1394,10723.076923,0.340082,0.119204,6.023498,90.997285,0.005128,197,1
process,waiter,201,saturated,ledger,3002,0.130000,1200,1504,11569.230769,3.028937,0.206511,119.002580,135.991013,0.021221,153,1
process,dguard,201,bursty,ledger,3001,0.130000,1200,6560,50461.538462,0.004046,0.000431,0.129954,0.287737,0.981783,0,1
process,ordered,201,bursty,ledger,3001,0.130000,1200,6543,50330.769231,0.087311,0.125075,0.194466,0.985733,0.981757,0,1
process,waiter,201,bursty,ledger,3001,0.130000,1200,6541,50315.384615,0.087411,0.125747,0.186755,1.239828,0.981736,0,1
process,dguard,201,bursty,ledger,3002,0.130000,1200,6490,49923.076923,0.004454,0.000521,0.126805,0.380724,0.980593,0,1
process,ordered,201,bursty,ledger,3002,0.130000,1200,6489,49915.384615,0.086357,0.124653,0.176450,0.476216,0.980874,0,1
process,waiter,201,bursty,ledger,3002,0.130000,1200,6486,49892.307692,0.087324,0.126055,0.190727,0.804437,0.981185,0,1
process,dguard,501,saturated,sleep,3999,0.130000,1200,7254,55800.000000,4.515763,21.238909,64.761710,143.650198,0.705815,28,1
process,ordered,501,saturated,sleep,3999,0.130000,1200,82,630.769231,4.201716,12.493255,68.129003,99.881313,0.003556,497,1
process,waiter,501,saturated,sleep,3999,0.130000,1200,76,584.615385,1.391614,0.483600,46.147865,50.700192,0.002104,499,1
process,dguard,501,saturated,ledger,3999,0.130000,1200,36506,280815.384615,1.107448,6.081702,20.449735,129.593112,0.855051,7,1
process,ordered,501,saturated,ledger,3999,0.130000,1200,1383,10638.461538,0.370551,0.120514,1.585152,130.100558,0.002049,497,1
process,waiter,501,saturated,ledger,3999,0.130000,1200,1768,13600.000000,12.713433,133.251264,140.796210,143.112852,0.045492,281,1
