policy,N,workload,app,seed,measure_s,tick_us,sched_jitter_us,dispatch_jitter_us,meals,throughput_s,mean_wait_ms,p50_wait_ms,p95_wait_ms,p99_wait_ms,max_wait_ms,jain,min_meals,max_meals,zero_workers,scheduler_ticks,guard_obligations,max_owed_age_ms
agemwis,501,bursty,kv,1004,0.14,200,80,50,14955,106821.428571,0.741732,0.487432,2.069172,4.616935,9.372677,0.983586,18,41,0,463,0,0.0
gfgrr,501,saturated,ledger,1005,0.14,200,80,50,29425,210178.571429,2.414424,2.269415,3.986354,5.68145,12.378724,0.988459,32,63,0,180,38399,10.711152
dguard,501,saturated,ledger,1005,0.14,200,80,50,56466,403328.571429,0.785137,8.1e-05,3.731896,12.932395,101.176445,0.876555,20,264,0,0,0,0.0
gfgrr,501,saturated,ledger,1006,0.14,200,80,50,26139,186707.142857,2.714143,2.659643,3.62648,5.539005,11.16175,0.997119,37,55,0,138,31207,10.263573
dguard,501,saturated,ledger,1006,0.14,200,80,50,49088,350628.571429,0.907372,0.00015,5.046739,13.676106,75.205371,0.876328,0,240,9,0,0,0.0
gfgrr,501,saturated,ledger,1007,0.14,200,80,50,25989,185635.714286,2.726388,2.366489,5.074016,7.585332,13.930901,0.985685,31,59,0,152,31890,13.564032
dguard,501,saturated,ledger,1007,0.14,200,80,50,64701,462150.0,0.681622,8.1e-05,3.511606,9.965717,108.745703,0.932906,18,251,0,0,0,0.0
gfgrr,501,saturated,ledger,1008,0.14,200,80,50,35491,253507.142857,1.983054,1.763915,3.748914,5.755503,17.740655,0.986809,48,84,0,217,43470,15.979543
dguard,501,saturated,ledger,1008,0.14,200,80,50,64212,458657.142857,0.657373,8e-05,3.435121,10.116463,49.781072,0.806796,25,349,0,0,0,0.0
gfgrr,501,saturated,kv,1005,0.14,200,80,50,27284,194885.714286,2.58773,2.672057,3.573925,5.82021,39.819627,0.98525,26,60,0,161,33528,37.449729
dguard,501,saturated,kv,1005,0.14,200,80,50,42920,306571.428571,1.030497,9e-05,4.724386,23.275548,60.730502,0.910956,29,184,0,0,0,0.0
gfgrr,501,saturated,kv,1006,0.14,200,80,50,25062,179014.285714,2.81516,2.450438,4.92138,9.852037,33.689533,0.966517,21,58,0,158,31644,31.393158
dguard,501,saturated,kv,1006,0.14,200,80,50,45791,327078.571429,0.871463,0.000151,3.561275,18.945161,69.609773,0.681231,0,350,40,0,0,0.0
gfgrr,501,saturated,kv,1007,0.14,200,80,50,31645,226035.714286,2.229056,1.92891,4.117155,7.250541,18.626669,0.987837,33,74,0,191,39824,16.689596
dguard,501,saturated,kv,1007,0.14,200,80,50,50572,361228.571429,0.853175,0.00016,3.759812,11.569144,90.014509,0.875083,12,215,0,0,0,0.0
gfgrr,501,saturated,kv,1008,0.14,200,80,50,25856,184685.714286,2.718334,2.632148,5.005858,7.754588,20.488294,0.990345,33,58,0,143,31239,16.583109
dguard,501,saturated,kv,1008,0.14,200,80,50,60296,430685.714286,0.761969,9e-05,3.276257,11.00357,84.960886,0.920697,30,244,0,0,0,0.0
