family,N,p,workload,metric,A,B,A_mean,B_mean,diff_mean,wilcoxon_stat,wilcoxon_p,wilcoxon_p_holm
GuardedFill_vs_AgeMIS,1001,0.05,hotspot,max_wait,GuardedFill,AgeMIS,2.0,3.0833333333333335,-1.0833333333333333,0.0,0.00048828125,0.01171875
GuardedFill_vs_AgeMIS,1001,0.05,uniform,throughput,GuardedFill,AgeMIS,49.92652777777778,49.930277777777775,-0.00374999999999955,18.0,0.10986328125,0.439453125
GuardedFill_vs_AgeMIS,1001,0.05,uniform,max_wait,GuardedFill,AgeMIS,1.6666666666666667,2.0,-0.3333333333333333,0.0,0.125,0.439453125
GuardedFill_vs_AgeMIS,1001,0.2,hotspot,throughput,GuardedFill,AgeMIS,165.7541111111111,165.83705555555557,-0.08294444444444575,0.0,0.00048828125,0.01171875
GuardedFill_vs_AgeMIS,1001,0.2,hotspot,max_wait,GuardedFill,AgeMIS,2.0,4.833333333333333,-2.8333333333333335,0.0,0.00048828125,0.01171875
GuardedFill_vs_AgeMIS,1001,0.2,uniform,throughput,GuardedFill,AgeMIS,190.6628888888889,191.30730555555553,-0.6444166666666623,0.0,0.00048828125,0.01171875
GuardedFill_vs_AgeMIS,1001,0.2,uniform,max_wait,GuardedFill,AgeMIS,2.0,3.9166666666666665,-1.9166666666666667,0.0,0.00048828125,0.01171875
GuardedFill_vs_AgeMIS,1001,0.4,hotspot,throughput,GuardedFill,AgeMIS,316.1071944444444,318.5749166666666,-2.4677222222222213,0.0,0.00048828125,0.01171875
GuardedFill_vs_AgeMIS,1001,0.4,hotspot,max_wait,GuardedFill,AgeMIS,2.0,5.0,-3.0,0.0,0.00048828125,0.01171875
GuardedFill_vs_AgeMIS,1001,0.4,uniform,throughput,GuardedFill,AgeMIS,333.2391666666667,336.62763888888884,-3.3884722222222194,0.0,0.00048828125,0.01171875
GuardedFill_vs_AgeMIS,1001,0.4,uniform,max_wait,GuardedFill,AgeMIS,2.0,5.25,-3.25,0.0,0.00048828125,0.01171875
