N,p,workload,comparison,metric,comparison_mean,GRR_mean,diff_mean,ci95_low,ci95_high,paired_t_p,wilcoxon_p,paired_t_p_holm,wilcoxon_p_holm
101,0.05,hotspot,AgeMIS,throughput,4.963444444444445,4.7916944444444445,0.17174999999999993,0.16576572156663172,0.17773427843336814,1.9384471758077284e-15,0.00048828125,1.1436838337265596e-13,0.0703125
101,0.05,hotspot,AgeMIS,mean_wait,0.10335476237727753,0.543361793783432,-0.44000703140615455,-0.4435601677139132,-0.4364538950983959,2.0351980815911143e-22,0.00048828125,1.8970524445041062e-20,0.0703125
101,0.05,hotspot,AgeMIS,max_wait,2.6666666666666665,2.0,0.6666666666666666,0.35383225812026303,0.9795010752130702,0.0006603135246711999,0.0078125,0.012545956968752797,0.140625
101,0.05,hotspot,AgeMIS,jain,0.5199674544510356,0.5410717336224421,-0.021104279171406403,-0.021999851202255116,-0.02020870714055769,1.6838010004952875e-14,0.00048828125,9.26090550272408e-13,0.0703125
101,0.05,hotspot,GuardedFill,throughput,4.9597500000000005,4.7916944444444445,0.1680555555555554,0.16315323530424275,0.17295787580686806,2.757014044594859e-16,0.00048828125,1.7369188480947612e-14,0.0703125
101,0.05,hotspot,GuardedFill,mean_wait,0.11040596197995563,0.543361793783432,-0.43295583180347647,-0.4360569137115313,-0.4298547498954216,5.442113620069607e-23,0.00048828125,5.333271347668215e-21,0.0703125
101,0.05,hotspot,GuardedFill,max_wait,1.9166666666666667,2.0,-0.08333333333333333,-0.26674876334096986,0.10008209667430322,0.3388006961962015,1.0,1.0,1.0
101,0.05,hotspot,GuardedFill,jain,0.5209046517184347,0.5410717336224421,-0.02016708190400726,-0.02082115384263595,-0.019513009965378574,8.826839961105279e-16,0.00048828125,5.38437237627422e-14,0.0703125
101,0.05,hotspot,RotatingGreedy,throughput,4.961555555555556,4.7916944444444445,0.16986111111111102,0.16375051576459146,0.17597170645763058,2.752160514163098e-15,0.00048828125,1.5962530982145967e-13,0.0703125
101,0.05,hotspot,RotatingGreedy,mean_wait,0.10398019591158997,0.543361793783432,-0.4393815978718421,-0.44305758307097715,-0.4357056126727071,3.0044068869715595e-22,0.00048828125,2.7039661982744036e-20,0.0703125
101,0.05,hotspot,RotatingGreedy,max_wait,4.583333333333333,2.0,2.5833333333333335,2.1585518945665796,3.0081147721000874,3.755600119993948e-08,0.00048828125,1.3895720443977608e-06,0.0703125
101,0.05,hotspot,RotatingGreedy,jain,0.5203300201635455,0.5410717336224421,-0.02074171345889662,-0.021557170717202534,-0.019926256200590707,7.288792297512704e-15,0.00048828125,4.154611609582241e-13,0.0703125
101,0.05,uniform,AgeMIS,throughput,5.030916666666666,4.915777777777778,0.11513888888888905,0.1114313740131898,0.11884640376458831,8.157231430674552e-16,0.00048828125,5.057483487018222e-14,0.0703125
101,0.05,uniform,AgeMIS,mean_wait,0.05227396204131296,0.52548722311762,-0.4732132610763071,-0.4756833956477098,-0.47074312650490446,1.6765740200990723e-24,0.00048828125,1.8609971623099702e-22,0.0703125
101,0.05,uniform,AgeMIS,max_wait,1.5833333333333333,2.0,-0.4166666666666667,-0.743836722360674,-0.08949661097265937,0.017180487343013168,0.0625,0.2920682848312238,1.0
101,0.05,uniform,AgeMIS,jain,0.9939216751805392,0.9940089439837999,-8.72688032604596e-05,-0.00020064534800420288,2.610774148328368e-05,0.11832605805511143,0.1513671875,1.0,1.0
101,0.05,uniform,GuardedFill,throughput,5.030694444444444,4.915777777777778,0.11491666666666656,0.11189018575500997,0.11794314757832314,8.972068671986533e-17,0.00048828125,5.742123950071381e-15,0.0703125
101,0.05,uniform,GuardedFill,mean_wait,0.05383635707453035,0.52548722311762,-0.47165086604308964,-0.4743044442625647,-0.4689972878236146,3.823171028165407e-24,0.00048828125,4.0907930001369854e-22,0.0703125
