N,p,workload,metric,GuardedFill_mean,GRR_mean,diff_mean,ci95_low,ci95_high,paired_t_p,wilcoxon_p,paired_t_p_holm,wilcoxon_p_holm
101,0.05,hotspot,throughput,4.9597500000000005,4.7916944444444445,0.1680555555555554,0.16315323530424275,0.17295787580686806,2.757014044594859e-16,0.00048828125,2.757014044594859e-16,0.01171875
101,0.05,hotspot,mean_wait,0.11040596197995563,0.543361793783432,-0.43295583180347647,-0.4360569137115313,-0.4298547498954216,5.442113620069607e-23,0.00048828125,5.4421136200696075e-22,0.01171875
101,0.05,uniform,throughput,5.030694444444444,4.915777777777778,0.11491666666666656,0.11189018575500997,0.11794314757832314,8.972068671986533e-17,0.00048828125,1.7944137343973066e-16,0.01171875
101,0.05,uniform,mean_wait,0.05383635707453035,0.52548722311762,-0.47165086604308964,-0.4743044442625647,-0.4689972878236146,3.823171028165407e-24,0.00048828125,4.9701223366150286e-23,0.01171875
101,0.2,hotspot,throughput,16.683666666666667,16.075472222222224,0.6081944444444446,0.5973539842354219,0.6190349046534673,1.229493783496089e-18,0.00048828125,3.688481350488267e-18,0.01171875
101,0.2,hotspot,mean_wait,0.35868649888960563,0.6393205678238705,-0.28063406893426496,-0.2818295801041186,-0.2794385577644113,1.7935488137666555e-25,0.00048828125,2.6903232206499833e-24,0.01171875
101,0.2,uniform,throughput,19.211388888888887,18.089027777777776,1.1223611111111127,1.1091763814456974,1.135545840776528,1.2557187368129881e-20,0.00048828125,6.27859368406494e-20,0.01171875
101,0.2,uniform,mean_wait,0.24743525805487918,0.5724829821126899,-0.32504772405781085,-0.32671374168194384,-0.32338170643367786,1.3714624542753267e-24,0.00048828125,1.9200474359854573e-23,0.01171875
101,0.4,hotspot,throughput,31.851694444444444,30.493916666666664,1.3577777777777775,1.3415675578737964,1.3739879976817586,1.5000549658128058e-20,0.00048828125,6.27859368406494e-20,0.01171875
101,0.4,hotspot,mean_wait,0.5219633104391654,0.6760134725242247,-0.15405016208505912,-0.15500299963223144,-0.1530973245378868,1.0839033656159943e-23,0.00048828125,1.1922937021775937e-22,0.01171875
101,0.4,uniform,throughput,33.625416666666666,32.191472222222224,1.433944444444445,1.4220921779993763,1.4457967108895136,2.6295184995140477e-22,0.00048828125,2.103614799611238e-21,0.01171875
101,0.4,uniform,mean_wait,0.5081853173030358,0.642150768552669,-0.13396545124963302,-0.13511779096369053,-0.1328131115355755,4.0771140023416316e-22,0.00048828125,2.853979801639142e-21,0.01171875
1001,0.05,hotspot,throughput,49.12383333333333,47.58580555555556,1.538027777777776,1.5263175502729907,1.5497380052825613,1.0655671857384011e-22,0.00048828125,9.59010467164561e-22,0.01171875
1001,0.05,hotspot,mean_wait,0.11790951999107752,0.5276148522317795,-0.40970533224070205,-0.4105253518017137,-0.4088853126796904,4.416892855971968e-29,0.00048828125,9.275474997541132e-28,0.01171875
1001,0.05,uniform,throughput,49.92652777777778,48.805527777777776,1.1209999999999998,1.1105208255376366,1.131479174462363,1.0180214724812832e-21,0.00048828125,6.1081288348876994e-21,0.01171875
1001,0.05,uniform,mean_wait,0.053786600864428824,0.5140484151491135,-0.46026181428468455,-0.4609546480513014,-0.4595689805180677,1.923588298524848e-30,0.00048828125,4.6166119164596355e-29,0.01171875
1001,0.2,hotspot,throughput,165.7541111111111,160.11891666666665,5.6351944444444415,5.601964044914264,5.668424843974619,6.411763507616222e-24,0.00048828125,7.694116209139466e-23,0.01171875
1001,0.2,hotspot,mean_wait,0.3535466592620267,0.626599253109573,-0.27305259384754615,-0.2735625357623264,-0.2725426519327659,2.0618608148270988e-29,0.00048828125,4.5360937926196175e-28,0.01171875
1001,0.2,uniform,throughput,190.6628888888889,180.04174999999998,10.62113888888888,10.597028396080573,10.645249381697186,1.7644833165303411e-28,0.00048828125,3.3525183014076484e-27,0.01171875
1001,0.2,uniform,mean_wait,0.24784694435141433,0.556994483328907,-0.30914753897749264,-0.30967271359006127,-0.308622364364924,7.273796510607239e-30,0.00048828125,1.672973197439665e-28,0.01171875
1001,0.4,hotspot,throughput,316.1071944444444,303.3301111111111,12.777083333333337,12.748037549257635,12.80612911740904,1.7922460849772554e-28,0.00048828125,3.3525183014076484e-27,0.01171875
1001,0.4,hotspot,mean_wait,0.5154897246849286,0.6615238676356426,-0.14603414295071412,-0.1463311062818073,-0.14573717961962096,5.259812705145463e-29,0.00048828125,1.0519625410290925e-27,0.01171875
1001,0.4,uniform,throughput,333.2391666666667,320.1645,13.074666666666673,13.03491925249758,13.114414080835765,4.3840237252609646e-27,0.00048828125,7.014437960417543e-26,0.01171875
1001,0.4,uniform,mean_wait,0.5042538647159142,0.6267168120991403,-0.12246294738322612,-0.1227797067032999,-0.12214618806315233,7.416457409929387e-28,0.00048828125,1.2607977596879959e-26,0.01171875
