workload,p,throughput_gain_pct,mean_wait_reduction_pct,guarded_max_wait,grr_max_wait
uniform,0.05,2.2968709714689783,89.53666633738642,2,2
uniform,0.2,5.899264414442129,55.50280087692359,2,2
uniform,0.4,4.083734038803999,19.54039607985716,2,2
hotspot,0.05,3.2321146186800487,77.6523501011529,2,2
hotspot,0.2,3.5193808213027644,43.5769102009762,2,2
hotspot,0.4,4.212270020450792,22.075415581399316,2,2
