N,p,workload,metric,AgeMIS_mean,GRR_mean,diff_mean,paired_d,t_stat,t_p,wilcoxon_stat,wilcoxon_p
101,0.05,hotspot,throughput,4.963444444444445,4.7916944444444445,0.17174999999999993,18.23523838379145,63.168718744420765,1.9384471758077284e-15,0.0,0.00048828125
101,0.05,hotspot,mean_wait,0.1033547623772776,0.543361793783432,-0.44000703140615444,-78.68179143799068,-272.56172085101485,2.03519808159105e-22,0.0,0.00048828125
101,0.05,hotspot,max_wait,2.6666666666666665,2.0,0.6666666666666666,1.35400640076991,4.690415759823429,0.0006603135246711999,0.0,0.0078125
101,0.05,hotspot,jain,0.5199674544510356,0.5410717336224421,-0.021104279171406403,-14.972574831590583,-51.8665206936809,1.6838010004952875e-14,0.0,0.00048828125
101,0.05,uniform,throughput,5.030916666666666,4.915777777777778,0.11513888888888905,19.731750855509663,68.35279001978066,8.157231430674552e-16,0.0,0.00048828125
101,0.05,uniform,mean_wait,0.052273962041313016,0.52548722311762,-0.47321326107630707,-121.72023546178666,-421.6512643665804,1.6765740200990495e-24,0.0,0.00048828125
101,0.05,uniform,max_wait,1.5833333333333333,2.0,-0.4166666666666667,-0.8091735937111156,-2.8030595529069404,0.017180487343013168,0.0,0.0625
101,0.05,uniform,jain,0.9939216751805392,0.9940089439837999,-8.726880326045035e-05,-0.4890601672145193,-1.6941541246415086,0.11832605805513424,20.0,0.1513671875
101,0.2,hotspot,throughput,16.77311111111111,16.075472222222224,0.6976388888888895,34.94779098451461,121.06269920101826,1.5285460029391388e-18,0.0,0.00048828125
101,0.2,hotspot,mean_wait,0.34296052134314836,0.6393205678238705,-0.2963600464807222,-108.13055366477916,-374.57522573256944,6.165158093821031e-24,0.0,0.00048828125
101,0.2,hotspot,max_wait,4.833333333333333,2.0,2.8333333333333335,3.3938349903908698,11.75658927173812,1.4356308680133128e-07,0.0,0.00048828125
101,0.2,hotspot,jain,0.7091861016385351,0.6969533355400316,0.01223276609850349,15.980709939670945,55.35880318538204,8.243143893754005e-15,0.0,0.00048828125
101,0.2,uniform,throughput,19.27436111111111,18.089027777777776,1.185333333333334,59.75607516757096,207.00111651271115,4.195474695483582e-21,0.0,0.00048828125
101,0.2,uniform,mean_wait,0.22917863355819845,0.5724829821126899,-0.34330434855449155,-120.45444526266283,-417.26643853131793,1.8808723450959076e-24,0.0,0.00048828125
101,0.2,uniform,max_wait,3.0,2.0,1.0,1000000000000.0,inf,0.0,0.0,0.00048828125
101,0.2,uniform,jain,0.9986895883052026,0.998819176714037,-0.00012958840883421177,-1.4980956159079037,-5.189555502690768,0.00029928316988093995,0.0,0.00048828125
101,0.4,hotspot,throughput,32.15847222222222,30.493916666666664,1.6645555555555553,66.46434693569788,230.23925157822038,1.3020154157110216e-21,0.0,0.00048828125
101,0.4,hotspot,mean_wait,0.489875519760238,0.6760134725242247,-0.18613795276398645,-94.85372194198263,-328.58293154849144,2.6045157818165295e-23,0.0,0.00048828125
101,0.4,hotspot,max_wait,4.666666666666667,2.0,2.6666666666666665,4.094130525746986,14.182484166846693,2.052774210149463e-08,0.0,0.00048828125
101,0.4,hotspot,jain,0.9658631101178806,0.9571159556613744,0.008747154456506026,45.241358157290804,156.72066267427525,8.946857399413623e-20,0.0,0.00048828125
101,0.4,uniform,throughput,33.99883333333333,32.191472222222224,1.8073611111111123,78.74202437859769,272.7703738410006,2.0181408984086237e-22,0.0,0.00048828125
101,0.4,uniform,mean_wait,0.4745645098831246,0.642150768552669,-0.16758625866954432,-77.2843516140135,-267.7208473744409,2.478586961597226e-22,0.0,0.00048828125
101,0.4,uniform,max_wait,4.75,2.0,2.75,6.080478782304789,21.06339637063944,3.063568946553134e-10,0.0,0.00048828125
101,0.4,uniform,jain,0.9995593062392154,0.9996547190268599,-9.541278764469789e-05,-2.123068639427357,-7.354525666537156,1.4400238800888419e-05,0.0,0.00048828125
1001,0.05,hotspot,throughput,49.189972222222224,47.58580555555556,1.604166666666666,65.22954089917543,225.96175799271603,1.6002478902027558e-21,0.0,0.00048828125
1001,0.05,hotspot,mean_wait,0.11074436273379672,0.5276148522317795,-0.41687048949798283,-360.6883567757627,-1249.461120349372,1.0841287782718411e-29,0.0,0.00048828125
1001,0.05,hotspot,max_wait,3.0833333333333335,2.0,1.0833333333333333,3.7527767497195677,13.0,5.08848807212823e-08,0.0,0.00048828125
1001,0.05,hotspot,jain,0.5149568243979107,0.5336395512137063,-0.018682726815795737,-26.644920564720785,-92.30071249510382,3.012631288840529e-17,0.0,0.00048828125
1001,0.05,uniform,throughput,49.930277777777775,48.805527777777776,1.1247500000000006,53.73752205040169,186.15223693719108,1.3483292955348547e-20,0.0,0.00048828125
1001,0.05,uniform,mean_wait,0.052591406743582,0.5140484151491135,-0.46145700840553144,-412.9039795188185,-1430.341343627791,2.4501809296711608e-30,0.0,0.00048828125
1001,0.05,uniform,max_wait,2.0,2.0,0.0,0.0,,,0.0,1.0
1001,0.05,uniform,jain,0.9938016998793587,0.9939430160280033,-0.00014131614864440478,-2.0000652029202097,-6.928429197875649,2.4925721054324985e-05,0.0,0.00048828125
1001,0.2,hotspot,throughput,165.83705555555557,160.11891666666665,5.7181388888888875,90.4371914404074,313.28362094219244,4.400326803072942e-23,0.0,0.00048828125
1001,0.2,hotspot,mean_wait,0.3472170994143234,0.626599253109573,-0.2793821536952495,-278.2761963285705,-963.977022116353,1.880559247667068e-28,0.0,0.00048828125
1001,0.2,hotspot,max_wait,4.833333333333333,2.0,2.8333333333333335,7.278965127891541,25.215074856125256,4.395010643878468e-11,0.0,0.00048828125
1001,0.2,hotspot,jain,0.7140019932106606,0.6924496039510247,0.02155238925963589,74.32326806369264,257.4633538296146,3.8090012958222665e-22,0.0,0.00048828125
1001,0.2,uniform,throughput,191.30730555555553,180.04174999999998,11.265555555555553,199.43709436426445,690.8703607178601,7.338945028261845e-27,0.0,0.00048828125
1001,0.2,uniform,mean_wait,0.2301580552716426,0.556994483328907,-0.32683642805726437,-331.4884756824741,-1148.309765175865,2.743965142890969e-29,0.0,0.00048828125
1001,0.2,uniform,max_wait,3.9166666666666665,2.0,1.9166666666666667,6.639528095657697,23.000000000000004,1.1875656785311627e-10,0.0,0.00048828125
1001,0.2,uniform,jain,0.998717657978896,0.9988090313482473,-9.137336935092592e-05,-3.3584040760849776,-11.633853411850403,1.5985654154416126e-07,0.0,0.00048828125
1001,0.4,hotspot,throughput,318.57491666666664,303.3301111111111,15.244805555555564,145.42037332214272,503.75095010397513,2.369061788850873e-25,0.0,0.00048828125
1001,0.4,hotspot,mean_wait,0.488856663812455,0.6615238676356426,-0.17266720382318765,-354.2347174953111,-1227.105059530836,1.3223039663744163e-29,0.0,0.00048828125
1001,0.4,hotspot,max_wait,5.0,2.0,3.0,3000000000000.0,inf,0.0,0.0,0.00048828125
1001,0.4,hotspot,jain,0.9651933183841089,0.955591271587454,0.009602046796654625,148.5482385162173,514.5862009307905,1.8746298779444417e-25,0.0,0.00048828125
1001,0.4,uniform,throughput,336.62763888888884,320.1645,16.463138888888896,139.5609120794012,483.45318094845015,3.724296186400193e-25,0.0,0.00048828125
1001,0.4,uniform,mean_wait,0.47391931361260536,0.6267168120991403,-0.15279749848653498,-271.848189371198,-941.7097535484751,2.4318205213967474e-28,0.0,0.00048828125
1001,0.4,uniform,max_wait,5.25,2.0,3.25,7.186020379087478,24.89310480166479,5.050993753959983e-11,0.0,0.00048828125
1001,0.4,uniform,jain,0.9995828140448969,0.9996311702147356,-4.835616983868881e-05,-3.746935761543345,-12.97976722913253,5.171411001951561e-08,0.0,0.00048828125
