N,p,workload,rep,algorithm,throughput,mean_wait,p95_wait,p99_wait,max_wait,jain
5,0.05,uniform,14,RotatingGreedy,0.2511,0.054559936280366386,1,1,2,0.9982372465962821
5,0.05,uniform,14,AgeMIS,0.251,0.053784860557768925,1,1,1,0.9982997482106157
5,0.05,uniform,14,GuardedFill,0.2509,0.055400557991231565,1,1,1,0.998277181294794
5,0.05,uniform,15,GRR,0.2532,0.8222748815165877,2,2,2,0.9997059057432586
5,0.05,uniform,15,RotatingGreedy,0.2635,0.06110056925996205,1,1,2,0.9996616550825526
5,0.05,uniform,15,AgeMIS,0.2636,0.05918057663125948,1,1,2,0.9996584600201126
5,0.05,uniform,15,GuardedFill,0.2635,0.06261859582542695,1,1,2,0.9996328703420425
5,0.05,uniform,16,GRR,0.2426,0.8293487221764221,2,2,2,0.9988944312532777
5,0.05,uniform,16,RotatingGreedy,0.2513,0.05690409868682849,1,1,2,0.9987496589871225
5,0.05,uniform,16,AgeMIS,0.251,0.0549800796812749,1,1,1,0.9987412888948073
5,0.05,uniform,16,GuardedFill,0.2513,0.0584958217270195,1,1,2,0.998689640394373
5,0.05,uniform,17,GRR,0.246,0.7995934959349593,2,2,2,0.9953633266938496
5,0.05,uniform,17,RotatingGreedy,0.2556,0.05555555555555555,1,1,2,0.9957181808898636
5,0.05,uniform,17,AgeMIS,0.2555,0.0547945205479452,1,1,1,0.9957807612781884
5,0.05,uniform,17,GuardedFill,0.2555,0.05675146771037182,1,1,2,0.9956425553202539
5,0.05,uniform,18,GRR,0.2427,0.857437165224557,2,2,2,0.9990237589858355
5,0.05,uniform,18,RotatingGreedy,0.2513,0.05372065260644648,1,1,2,0.999434064834077
5,0.05,uniform,18,AgeMIS,0.2516,0.05325914149443561,1,1,1,0.9994436181869278
5,0.05,uniform,18,GuardedFill,0.2515,0.054473161033797214,1,1,2,0.9994248573796407
5,0.05,uniform,19,GRR,0.2376,0.8308080808080808,2,2,2,0.9988121208261015
5,0.05,uniform,19,RotatingGreedy,0.2467,0.04539927036886907,0,1,2,0.9989977339858622
5,0.05,uniform,19,AgeMIS,0.2468,0.04538087520259319,0,1,2,0.9989969067464418
5,0.05,uniform,19,GuardedFill,0.2469,0.04738760631834751,0,1,2,0.9990373387677641
5,0.05,uniform,20,GRR,0.2399,0.8499374739474781,2,2,2,0.999407149114848
5,0.05,uniform,20,RotatingGreedy,0.2485,0.05271629778672032,1,1,2,0.9995289840704354
5,0.05,uniform,20,AgeMIS,0.2485,0.052313883299798795,1,1,1,0.9995014813933595
5,0.05,uniform,20,GuardedFill,0.2485,0.05311871227364185,1,1,2,0.9995289840704354
5,0.05,uniform,21,GRR,0.232,0.8275862068965517,2,2,2,0.9982621662274169
5,0.05,uniform,21,RotatingGreedy,0.2414,0.054266777133388566,1,1,2,0.9984162120672168
5,0.05,uniform,21,AgeMIS,0.2413,0.055532532117695814,1,1,1,0.9984710584010762
5,0.05,uniform,21,GuardedFill,0.2413,0.05511811023622047,1,1,1,0.9984042867859823
5,0.05,uniform,22,GRR,0.2358,0.8206106870229007,2,2,2,0.999308771910906
5,0.05,uniform,22,RotatingGreedy,0.2455,0.045213849287169046,0,1,2,0.9992953397084364
5,0.05,uniform,22,AgeMIS,0.2454,0.044417277913610435,0,1,1,0.9993007352733754
5,0.05,uniform,22,GuardedFill,0.2457,0.04721204721204721,0,1,2,0.9993136892184151
5,0.05,uniform,23,GRR,0.2357,0.8150190920661858,2,2,2,0.9989344361781034
5,0.05,uniform,23,RotatingGreedy,0.2454,0.05052974735126324,0,1,2,0.9987372568920997
5,0.05,uniform,23,AgeMIS,0.2456,0.050895765472312705,1,1,1,0.9988385398123846
5,0.05,uniform,23,GuardedFill,0.2454,0.05134474327628362,1,1,2,0.9987372568920997
5,0.05,uniform,24,GRR,0.2395,0.8104384133611691,2,2,2,0.9984038835931591
5,0.05,uniform,24,RotatingGreedy,0.2473,0.05216336433481601,1,1,2,0.9984627302700589
5,0.05,uniform,24,AgeMIS,0.2474,0.05254648342764753,1,1,1,0.9983893777882898
5,0.05,uniform,24,GuardedFill,0.2475,0.05333333333333334,1,1,1,0.9984108550822077
5,0.05,uniform,25,GRR,0.2372,0.8461214165261383,2,2,2,0.9988981978095335
5,0.05,uniform,25,RotatingGreedy,0.2466,0.05798864557988646,1,1,2,0.9990218675200546
5,0.05,uniform,25,AgeMIS,0.2465,0.05760649087221095,1,1,2,0.9989970940388749
5,0.05,uniform,25,GuardedFill,0.2465,0.05801217038539554,1,1,2,0.9990020214409199
5,0.05,uniform,26,GRR,0.2349,0.8271604938271605,2,2,2,0.9962743988148276
5,0.05,uniform,26,RotatingGreedy,0.2442,0.05405405405405406,1,1,3,0.9962334883083775
5,0.05,uniform,26,AgeMIS,0.2443,0.052394596807204256,1,1,1,0.9963396728810093
5,0.05,uniform,26,GuardedFill,0.2441,0.05243752560426055,1,1,2,0.9962490689133686
5,0.05,uniform,27,GRR,0.2372,0.8018549747048904,2,2,2,0.9991287964214238
5,0.05,uniform,27,RotatingGreedy,0.2453,0.04688136975132491,0,1,2,0.999045983242445
5,0.05,uniform,27,AgeMIS,0.2453,0.04606604158173665,0,1,1,0.99900783389519
5,0.05,uniform,27,GuardedFill,0.2454,0.04767726161369193,0,1,2,0.9990056584899745
5,0.05,uniform,28,GRR,0.2351,0.8256061250531689,2,2,2,0.999216492347965
5,0.05,uniform,28,RotatingGreedy,0.2457,0.04843304843304843,0,1,2,0.9988639437829216
