N,p,workload,algorithm,throughput_mean,throughput_sd,mean_wait_mean,max_wait_max,jain_mean,runtime_mean_s
10001,0.2,hotspot,AgeMIS,1656.4965,0.7566463378326864,0.3477023684344004,6,0.7137063464781772,0.26617891260000304
10001,0.2,hotspot,GRR,1600.3603333333333,0.784519846077152,0.6252827766014996,2,0.6913482201686104,0.189631511399989
10001,0.2,hotspot,GuardedFill,1656.3648333333335,0.8194865008040552,0.35305373808620516,2,0.7121286274804944,0.2404858403999924
10001,0.2,hotspot,RotatingGreedy,1654.97,0.7832429025815789,0.34906269689460256,22,0.7147264660339163,0.21805764800000133
10001,0.2,uniform,AgeMIS,1911.6055000000001,0.5554029443166966,0.23030885939148296,5,0.9968408754966276,0.28166931539999496
10001,0.2,uniform,GRR,1799.7438333333332,0.5300729116514488,0.5556325110090128,2,0.9970478791692162,0.21097460860002
10001,0.2,uniform,GuardedFill,1905.0665000000001,0.5952932867270676,0.24798378480280658,2,0.9968532870170833,0.27458088739999764
10001,0.2,uniform,RotatingGreedy,1911.8400000000001,0.4260326506788447,0.22947056702566687,9,0.9967877240638247,0.25714648479997776
10001,0.4,hotspot,AgeMIS,3182.7626666666665,1.3952674723668375,0.4886656642927022,6,0.9645578147505665,0.4127464833999966
10001,0.4,hotspot,GRR,3032.1775000000002,1.1262715036790263,0.659966841527609,2,0.9550337040992959,0.24632335939999167
10001,0.4,hotspot,GuardedFill,3158.7238333333335,1.1609037128700175,0.5151191730829335,2,0.9631721298708854,0.3228755847999878
10001,0.4,hotspot,RotatingGreedy,3184.0299999999997,1.1526450559472319,0.4865398171907806,26,0.9646330935526674,0.3131920016000095
10001,0.4,uniform,AgeMIS,3363.193666666667,0.68782709390582,0.474063185063425,7,0.9989467886941366,0.4163001182000016
10001,0.4,uniform,GRR,3199.9788333333336,0.5273165162720784,0.6253229329608111,2,0.9990542765005749,0.269839985800013
10001,0.4,uniform,GuardedFill,3329.1695,0.43391491421471745,0.5041125978762384,2,0.9989880958202294,0.3519182740000133
10001,0.4,uniform,RotatingGreedy,3367.431833333333,0.9227509068600743,0.47013120604518355,12,0.9988125433532323,0.34301447240000016
